,Depth,Resistivity,Gamma Ray,Total Porosity,Effective Porosity,Bulk Density,Compression Wave Travel Time,Shear Wave Travel Time
0,6805.0,57.47087,110.47838,0.03449,0.00445,2.76576,67.67523,124.05187
1,6805.5,58.85637,112.94601,0.03716,0.00775,2.7656,67.74464,123.807
2,6806.0,65.01717,114.49005,0.03828,0.00976,2.7555,67.75224,123.40514
3,6806.5,63.35363,116.06593,0.03364,0.00568,2.74892,67.71935,123.23686
4,6807.0,62.28267,117.68179,0.03199,0.0034,2.75687,67.69218,123.43977
5,6807.5,62.49149,120.27631,0.03529,0.00378,2.76524,67.71938,123.8584
6,6808.0,62.61779,121.49425,0.03954,0.00441,2.76532,67.84577,124.41315
7,6808.5,61.65401,119.79631,0.04308,0.00495,2.76529,68.10544,125.1104
8,6809.0,62.96032,119.04149,0.04493,0.00523,2.7752,68.38178,125.8518
9,6809.5,60.61237,121.6228,0.04605,0.00548,2.77852,68.49569,126.61955
10,6810.0,57.17787,122.70256,0.04808,0.00627,2.77144,68.4844,127.35605
11,6810.5,56.2987,117.98614,0.0503,0.0074,2.76243,68.51511,127.86613
12,6811.0,56.99071,114.28367,0.0516,0.00793,2.75814,68.57561,127.9157
13,6811.5,57.82979,113.41987,0.04913,0.00705,2.76001,68.57359,127.47232
14,6812.0,57.16453,114.12598,0.04309,0.00595,2.75534,68.54439,126.88389
15,6812.5,58.18476,113.61245,0.0385,0.00663,2.74327,68.55209,126.38872
16,6813.0,59.84335,114.42982,0.03721,0.00744,2.73434,68.6294,126.15757
17,6813.5,61.29428,117.26464,0.037,0.00538,2.74665,68.79159,126.332
18,6814.0,58.41151,118.54252,0.03862,0.00399,2.76983,69.02072,126.80685
19,6814.5,52.96898,118.90248,0.03918,0.00375,2.79298,69.25391,127.31348
20,6815.0,54.02745,118.18453,0.03826,0.00537,2.79883,69.39252,127.68031
21,6815.5,57.92421,117.50429,0.04082,0.0114,2.78943,69.34181,127.91637
22,6816.0,58.01249,118.12202,0.04332,0.0161,2.77168,69.13528,128.10226
23,6816.5,55.82989,119.71447,0.03986,0.0124,2.75245,68.97717,128.21834
24,6817.0,52.77191,120.99271,0.03509,0.00642,2.74058,69.00458,128.17957
25,6817.5,49.53041,118.67245,0.03412,0.00358,2.74871,69.13174,127.83654
26,6818.0,51.88784,114.53365,0.03427,0.00302,2.76794,69.17446,127.27299
27,6818.5,52.90892,111.73012,0.034,0.00315,2.77982,69.07754,126.57399
28,6819.0,54.38394,112.1018,0.03559,0.00504,2.76894,68.92947,125.82464
29,6819.5,58.25061,114.2196,0.04004,0.00876,2.75228,68.83694,125.23755
30,6820.0,58.7448,113.21146,0.04294,0.01027,2.74613,68.83175,125.05608
31,6820.5,55.6095,111.462,0.04571,0.01177,2.73724,68.8781,125.17149
32,6821.0,57.6238,110.75844,0.04811,0.01346,2.72653,68.88064,125.28284
33,6821.5,58.17644,113.60526,0.05049,0.01563,2.71615,68.72473,125.18571
34,6822.0,59.61412,117.30978,0.05427,0.0203,2.70842,68.41841,124.84487
35,6822.5,62.707,117.90437,0.05464,0.02353,2.7039,68.07911,124.4212
36,6823.0,60.82509,117.59054,0.04799,0.02023,2.71101,67.91453,124.15688
37,6823.5,58.99029,116.08462,0.03947,0.01367,2.73542,68.05717,124.2373
38,6824.0,57.34662,115.91812,0.03268,0.00729,2.76493,68.42258,124.64492
39,6824.5,59.87707,114.60041,0.03098,0.00414,2.77942,68.82316,125.0808
40,6825.0,63.20235,112.65508,0.03458,0.00438,2.77061,69.04812,125.49068
41,6825.5,63.39713,112.64325,0.03792,0.00512,2.75583,69.04305,125.89107
42,6826.0,64.3645,112.88357,0.03765,0.00473,2.75349,68.92012,126.19071
43,6826.5,64.71599,114.344,0.0349,0.00379,2.76758,68.80244,126.36761
44,6827.0,63.75453,113.35756,0.03228,0.00315,2.78691,68.76163,126.73577
45,6827.5,62.50926,111.33546,0.03133,0.00341,2.79503,68.72437,127.20547
46,6828.0,62.01351,109.51667,0.03345,0.00587,2.78456,68.63022,127.60197
47,6828.5,64.38632,108.70687,0.0381,0.00983,2.75772,68.52092,127.97507
48,6829.0,64.99964,109.88088,0.0385,0.00953,2.73579,68.50159,128.36823
49,6829.5,63.88384,110.00595,0.0339,0.00532,2.73812,68.66942,128.47891
50,6830.0,61.62543,111.97276,0.02966,0.00332,2.7527,69.0052,127.96667
51,6830.5,57.10703,116.09525,0.02931,0.00527,2.7628,69.39632,127.1103
52,6831.0,53.60316,121.92125,0.03396,0.01082,2.76316,69.69858,126.54565
53,6831.5,55.35895,123.99902,0.04109,0.0167,2.75773,69.8321,126.42083
54,6832.0,54.56219,123.48859,0.05173,0.02547,2.74009,69.83214,126.59385
55,6832.5,53.01891,120.71334,0.06037,0.03179,2.72113,69.78299,126.92147
56,6833.0,50.82082,120.63501,0.05645,0.02574,2.71864,69.73642,126.98876
57,6833.5,51.7418,120.03588,0.04769,0.01561,2.74124,69.67067,126.74561
58,6834.0,55.21164,118.62118,0.04311,0.0107,2.75563,69.53719,126.50499
59,6834.5,57.15641,118.13824,0.04145,0.00935,2.75243,69.34211,126.73181
60,6835.0,56.52535,121.01806,0.03756,0.00583,2.74392,69.16302,127.39394
61,6835.5,57.57234,124.36417,0.03488,0.00376,2.75904,69.07055,128.17987
62,6836.0,57.63548,122.87247,0.03377,0.00332,2.77878,69.06637,128.74928
63,6836.5,56.32859,116.87502,0.03278,0.00318,2.78339,69.10986,128.84201
64,6837.0,57.60975,110.70737,0.03254,0.00324,2.7735,69.15767,128.481
65,6837.5,59.22044,108.56258,0.03297,0.0033,2.76817,69.18784,127.98976
66,6838.0,59.53637,109.81255,0.03451,0.00356,2.77634,69.18935,127.76847
67,6838.5,56.796,112.15569,0.03612,0.00411,2.77722,69.17455,128.01987
68,6839.0,58.55598,113.11829,0.03658,0.00462,2.77324,69.16965,128.41122
69,6839.5,63.27142,113.31197,0.03543,0.00442,2.76785,69.1787,128.86977
70,6840.0,62.40329,114.38136,0.03258,0.00354,2.77102,69.19212,129.29315
71,6840.5,58.61686,116.39712,0.03191,0.00584,2.77894,69.19576,129.77827
72,6841.0,60.95932,117.06496,0.03578,0.01312,2.77625,69.21694,130.1097
73,6841.5,57.47811,115.98218,0.03857,0.01743,2.76955,69.28758,130.103
74,6842.0,53.48666,116.88798,0.03942,0.01711,2.76978,69.41699,129.77686
75,6842.5,52.35888,119.92852,0.03674,0.0113,2.77466,69.57414,129.39909
76,6843.0,55.37443,123.6224,0.03433,0.00524,2.7813,69.67018,128.88156
77,6843.5,54.73884,125.14754,0.03524,0.00361,2.78064,69.64902,128.218
78,6844.0,53.72591,123.40557,0.03505,0.0037,2.77508,69.51992,127.4486
79,6844.5,53.46674,120.80461,0.0334,0.00523,2.7635,69.35577,126.67985
80,6845.0,53.67266,118.63953,0.03497,0.01036,2.75194,69.22055,126.19355
81,6845.5,54.9199,117.92043,0.03833,0.01543,2.74493,69.11448,126.1016
82,6846.0,54.69567,118.10765,0.03978,0.016,2.74628,69.05476,126.48563
83,6846.5,54.0832,117.82817,0.0378,0.01104,2.75229,69.11647,126.95082
84,6847.0,53.86025,118.26904,0.03445,0.00511,2.75877,69.35357,127.31448
85,6847.5,53.72923,116.98428,0.0334,0.00319,2.76423,69.71336,127.49795
86,6848.0,56.26993,115.95126,0.033,0.00311,2.77079,70.03149,127.52325
87,6848.5,58.0495,114.47526,0.03184,0.00303,2.77709,70.16126,127.56063
88,6849.0,56.3924,114.13418,0.02951,0.003,2.78986,70.10172,127.66669
89,6849.5,53.38233,115.13028,0.02906,0.00496,2.79396,69.9781,127.90863
90,6850.0,53.48508,117.71946,0.03526,0.01161,2.78474,69.92478,128.35744
91,6850.5,52.81327,121.28302,0.04476,0.0187,2.75752,70.01984,128.80811
92,6851.0,56.37573,124.94904,0.0519,0.02193,2.73144,70.40923,129.14836
93,6851.5,62.8876,131.44797,0.05482,0.02017,2.71858,71.27904,129.37297
94,6852.0,63.50118,140.05276,0.05409,0.01518,2.71514,72.57497,129.49417
95,6852.5,58.87788,147.34322,0.05242,0.01021,2.72086,73.82459,129.68034
96,6853.0,48.44826,147.74525,0.04938,0.00652,2.73694,74.32825,130.0249
97,6853.5,45.75355,141.66621,0.04401,0.00469,2.75555,73.75587,129.97826
98,6854.0,50.32812,133.53357,0.03767,0.00521,2.75799,72.39951,129.14014
99,6854.5,54.2056,126.41394,0.03761,0.01138,2.74282,70.90791,127.73821
100,6855.0,56.20516,121.39146,0.04332,0.02079,2.72423,69.74828,126.27589
101,6855.5,57.90384,116.86544,0.04377,0.0214,2.71214,69.05006,125.06904
102,6856.0,56.95443,113.34265,0.03628,0.01204,2.72536,68.73373,124.25666
103,6856.5,57.70373,112.6205,0.03072,0.00475,2.75185,68.67895,123.69129
104,6857.0,60.8332,115.54524,0.03007,0.00307,2.76637,68.72632,123.22742
105,6857.5,53.46136,120.38515,0.03299,0.00496,2.756,68.74753,122.77289
106,6858.0,53.16039,123.18752,0.04056,0.01159,2.73624,68.70024,122.57118
107,6858.5,51.84059,123.1729,0.05033,0.02084,2.71887,68.61073,122.86077
108,6859.0,52.12432,120.76912,0.05846,0.02931,2.70341,68.55275,123.58519
109,6859.5,55.44522,118.68655,0.05921,0.03005,2.69253,68.59832,124.44367
110,6860.0,56.74496,115.04808,0.05083,0.02234,2.70418,68.76581,125.11862
111,6860.5,58.71859,112.55312,0.03896,0.01218,2.75068,68.99991,125.49708
112,6861.0,60.45486,111.06625,0.03085,0.00493,2.78989,69.22669,125.58887
113,6861.5,64.59441,111.30798,0.02925,0.003,2.79779,69.39404,125.54305
114,6862.0,66.7853,113.24883,0.03083,0.00313,2.78946,69.44918,125.36225
115,6862.5,61.44404,114.87359,0.03416,0.00377,2.77824,69.3791,125.02897
116,6863.0,61.37379,114.89163,0.03828,0.00498,2.76105,69.25005,124.64599
117,6863.5,64.71135,114.35098,0.04014,0.00575,2.74676,69.16068,124.35426
118,6864.0,67.17317,115.76733,0.03861,0.0051,2.7468,69.13971,124.18157
119,6864.5,61.8889,120.0293,0.03535,0.00435,2.75795,69.12796,124.06702
120,6865.0,56.92612,123.18134,0.03554,0.00808,2.75694,69.09382,123.95654
121,6865.5,57.94915,121.66103,0.04115,0.01793,2.7501,69.08238,123.87188
122,6866.0,63.09753,118.98096,0.04502,0.02461,2.74672,69.13699,123.92209
123,6866.5,55.89667,120.30299,0.04899,0.03013,2.75484,69.24738,124.15291
124,6867.0,46.23986,127.85902,0.05317,0.03401,2.7497,69.41977,124.53947
125,6867.5,52.45416,134.60497,0.05283,0.03268,2.73234,69.70446,125.14524
126,6868.0,49.00392,136.29451,0.04321,0.02105,2.73275,70.14455,126.08337
127,6868.5,45.02384,133.76968,0.03445,0.00981,2.75261,70.66924,127.09206
128,6869.0,45.62007,130.89012,0.03209,0.00436,2.77102,71.1124,127.89077
129,6869.5,51.09023,124.62583,0.0334,0.00333,2.77262,71.35459,128.25035
130,6870.0,56.23602,118.89996,0.03504,0.00351,2.76297,71.35429,128.38258
131,6870.5,56.27835,115.60085,0.03574,0.00354,2.77109,71.1312,128.41333
132,6871.0,54.02284,117.06446,0.037,0.00362,2.77569,70.75317,128.19832
